Address,Balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"143,528.46"
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,"141,451.60"
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"98,510.99"
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,"97,221.65"
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,"94,505.83"
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"92,307.49"
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,"82,750.23"
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,"79,957.21"
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,"69,370.17"
37tRFZw7n94Jddq6TfVs3MbCXmDX6eMfeY,"68,101.57"
3JurbUwpsAPqvUkwLM5CtwnEWrNnUKJNoD,"65,236.71"
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,"53,880.06"
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,"51,830.36"
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,"44,000.09"
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,"41,701.87"
bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,"41,245.00"
3P5RCQv6k5Gc9WixzU4MAxZ69CsW1eta2q,"40,913.96"
3FGKwP7XQA9Gb27if7zQGJSSynbzWLrV3p,"40,862.48"
bc1q5shngj24323nsrmxv99st02na6srekfctt30ch,"40,000.33"
3D8qAoMkZ8F1b42btt2Mn5TyN7sWfa434A,"36,000.87"
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,"36,000.01"
bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,"34,373.99"
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,"32,354.00"
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,"31,834.43"
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"31,000.07"
3MMZmbKm9ZbM2VwqcVpG98thDP5JAhgVvb,"28,406.39"
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,"28,151.06"
36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,"27,708.97"
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,"26,720.17"
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,"24,495.35"
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,"23,969.00"
3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,"23,571.35"
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG,"23,227.62"
1HP4M9g82YYeybgR3TBHMgDaWnKRbKvKbp,"23,023.30"
1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,"22,899.99"
