source,target,value
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1109.3993
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,843.6520999999999
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1121.4433
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1708.2866
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2226.0007
BTC Exchange,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,8.8121329
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2154.667818
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1622.508951
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2114.13694144
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,926.7153231000001
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1256.216402
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,951.9679470000001
BTC Exchange,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,45492.953
BTC Exchange,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,50.89456655000001
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,906.5656
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,543.827194
BTC Exchange,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,47000.0
BTC Exchange,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,0.43060098
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,1078.07718
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,1041.331947
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,1529.499119
BTC Exchange,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,43.59260518999999
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,2955.68193964
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,5.0363
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,3027.676414
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,1.0878077400000001
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,1.78489919
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,1.3141472500000002
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.12436769
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,3500.0
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.8223753500000001
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,2000.0
BTC Exchange,35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,63.113718500000026
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,2005.2943363
BTC Exchange,35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,9.326519359999995
BTC Exchange,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,722.8691
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,1082.88976
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,184.16304436000001
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,200.27444201
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,1.2051867
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,2092.45036
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,145.08385297
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.11647585999999999
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,288.5299
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.13171363
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,301.98556274
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.34044359
BTC Exchange,35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,10.969286300000002
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,400.75570527
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,253.98082169999998
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,16.354203399999996
BTC Exchange,385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,12.254924929999998
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,251.44774604
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,5041.25114
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,222.23884456
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,382.69337679
BTC Exchange,35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,1.9103868999999996
BTC Exchange,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.17417354000000002
BTC Exchange,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,0.08021961
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,200.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,2499.9982
BTC Exchange,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,1670.63876
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,13.180603
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,790.0
BTC Exchange,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,1222.5313100000003
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,54.92766816
BTC Exchange,3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,777.84699
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1000.0
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,0.18275017
BTC Exchange,3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,33.068782999999996
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1666.0
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,1.9544407999999998
BTC Exchange,36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,19.306695669999993
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,1784.3936318500002
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,2751.47563884
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,250.01
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,2990.0
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,2060.0
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1878.0
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,250.0635462
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1070.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,818.0
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1207.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,807.0
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,101.24764304
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,760.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1230.0
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,100.79045364999999
BTC Exchange,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,17199.998
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1100.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1100.0
BTC Exchange,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,0.025
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,387.12122257
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1930.0
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,201.44125942
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,1751.88629992
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1480.0
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,1501.28756874
BTC Exchange,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,0.07651888000000001
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,201.68827564
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,752.37953522
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,654.29082156
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,251.08200018
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,768.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,1480.0
BTC Exchange,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,5.68854373
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,250.34759043000003
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,1174.0
BTC Exchange,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,3110.8203554
BTC Exchange,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,16.19263717999999
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,100.13283606999998
BTC Exchange,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,151.54407241000004
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,3448.0
BTC Exchange,bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa,820.0
BTC Exchange,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,1811.4946128
BTC Exchange,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,82.96637308
BTC Exchange,bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,552.51
BTC Exchange,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,118.85087178999997
BTC Exchange,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,200.39234240000002
