source,target,value
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,BTC Exchange,1.1023045999999999
BTC Exchange,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,50.4552694
3FiMKffg2kY2Pi2Kebn2HZqN7m6kEcNUMk,BTC Exchange,0.23010789999999998
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1109.3993
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,843.6520999999999
BTC Exchange,16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,84.6076
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1121.4433
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1708.2866
16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,BTC Exchange,2000.0
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2226.0007
BTC Exchange,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,8.8121329
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,253.655219
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,503.3496022
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2154.667818
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1622.508951
BTC Exchange,14q2eU3FHbxvi9jLcRwVhrBUBDK4C1nFZ4,650.0
BTC Exchange,1DTBF2ooVxKTni2McYwXujbNv6wRvjP9ms,867.55492617
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,2114.13694144
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,926.7153231000001
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,1256.216402
16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,BTC Exchange,750.0
BTC Exchange,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,951.9679470000001
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,BTC Exchange,0.01579768
BTC Exchange,1LRAJB1Jb2U36ErCUgZrowGKWvZVqqttUw,883.8845676400002
BTC Exchange,1DTBF2ooVxKTni2McYwXujbNv6wRvjP9ms,309.917596
3Fr1mGhnPAQ9YDf1dzg4B47PkX5TuvFtYv,BTC Exchange,1.0
3Fr1mGhnPAQ9YDf1dzg4B47PkX5TuvFtYv,BTC Exchange,700.4722
1PnZrjuLngJ4Fszu5DY5ATHyAeNgT2FRvY,BTC Exchange,1500.0
BTC Exchange,16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,781.499441
BTC Exchange,19pnUzv5KHALEu3DRpyHogT6N3BeHbqJrS,15.500028690000004
1DTBF2ooVxKTni2McYwXujbNv6wRvjP9ms,BTC Exchange,800.0
BTC Exchange,16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,1782.883194
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,30.9997506
BTC Exchange,16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,1270.0752
BTC Exchange,16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,2472.08243
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,29.3409362
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,23.02652811
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,34.650481909999996
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,50.545863579999995
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,25.97494312
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,27.70712244000001
