source,target,value
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,BTC Exchange,1.1023045999999999
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,BTC Exchange,0.01579768
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,BTC Exchange,0.039446640000000005
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1500.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,2000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,48671.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1832.0
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,BTC Exchange,6000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,500.0
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,BTC Exchange,15000.0
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,BTC Exchange,3.092
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,BTC Exchange,0.02956992
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,BTC Exchange,0.08265466
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,BTC Exchange,0.00383544
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1500.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,0.00537268
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,BTC Exchange,0.014939260000000001
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,BTC Exchange,0.0388
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,2500.0
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,BTC Exchange,0.19935016
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,500.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1500.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1300.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,BTC Exchange,0.06414995
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,BTC Exchange,0.00591411
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,BTC Exchange,1.5292056
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1500.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,2700.0
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,BTC Exchange,152.06535964999998
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,2000.0
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,BTC Exchange,43.4019
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,BTC Exchange,2823.0
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,BTC Exchange,0.00336
3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,BTC Exchange,50.41
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,BTC Exchange,3000.0
bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,BTC Exchange,9450.0
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,BTC Exchange,9700.0
3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh,BTC Exchange,220.9968
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,BTC Exchange,1500.0
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,BTC Exchange,1500.0
bc1qt4h06ssqtwncv5rtf8c8v53emwmvr9j5peq9quj9vf0jzu2egnxqpesxny,BTC Exchange,659.9998
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,BTC Exchange,250.0
15DzxWRD5kzGHiUD6hyjfVLiMC3u8A9RUS,BTC Exchange,503.40241226
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,BTC Exchange,0.00417718
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,BTC Exchange,1000.0
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,BTC Exchange,0.02397784
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,BTC Exchange,1750.0
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,BTC Exchange,500.0
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,BTC Exchange,765.46482741
